Date,MAW
2016-11-06 23:06:45,11071
2016-11-06 23:07:00,11393
2016-11-06 23:07:15,11594
2016-11-06 23:07:30,11758
2016-11-06 23:07:45,11969
2016-11-06 23:08:00,12130
2016-11-06 23:08:15,12026
2016-11-06 23:08:30,11995
2016-11-06 23:08:45,12051
2016-11-06 23:09:00,12087
2016-11-06 23:09:15,11998
2016-11-06 23:09:30,11999
2016-11-06 23:09:45,12127
2016-11-06 23:10:00,12217
2016-11-06 23:10:15,12221
2016-11-06 23:10:30,12237
2016-11-06 23:10:45,12304
2016-11-06 23:11:00,12360
2016-11-06 23:11:15,12441
2016-11-06 23:11:30,12468
2016-11-06 23:11:45,12958
2016-11-06 23:12:00,11982
2016-11-06 23:12:15,11935
2016-11-06 23:12:30,11901
2016-11-06 23:12:45,11768
2016-11-06 23:13:00,12099
2016-11-06 23:13:15,11743
2016-11-06 23:13:30,11669
2016-11-06 23:13:45,11774
2016-11-06 23:14:00,11718
2016-11-06 23:14:15,11542
2016-11-06 23:14:30,11326
2016-11-06 23:14:45,11095
2016-11-06 23:15:00,9649
2016-11-06 23:15:15,11467
2016-11-06 23:15:30,11522
2016-11-06 23:15:45,11493
2016-11-06 23:16:00,11562
2016-11-06 23:16:15,10540
2016-11-06 23:16:30,8763
2016-11-06 23:16:45,8873
2016-11-06 23:17:00,8983
2016-11-06 23:17:15,9093
2016-11-06 23:17:30,9203
2016-11-06 23:17:45,9313
2016-11-06 23:18:00,9422
2016-11-06 23:18:15,9532
2016-11-06 23:18:30,9642
2016-11-06 23:18:45,9752
2016-11-06 23:19:00,9862
2016-11-06 23:19:15,9972
2016-11-06 23:19:30,10082
2016-11-06 23:19:45,10192
2016-11-06 23:20:00,10302
2016-11-06 23:20:15,10411
2016-11-06 23:20:30,10521
2016-11-06 23:20:45,10631
2016-11-06 23:21:00,10741
2016-11-06 23:21:15,10655
2016-11-06 23:21:30,11192
2016-11-06 23:21:45,10545
2016-11-06 23:22:00,10549
2016-11-06 23:22:15,10388
2016-11-06 23:22:30,10273
2016-11-06 23:22:45,9987
2016-11-06 23:23:00,9729
2016-11-06 23:23:15,9549
2016-11-06 23:23:30,9354
2016-11-06 23:23:45,9285
2016-11-07 23:00:00,9456
2016-11-07 23:00:15,9428
2016-11-07 23:00:30,9347
2016-11-07 23:00:45,9261
2016-11-07 23:01:00,9180
2016-11-07 23:01:15,9134
2016-11-07 23:01:30,9102
2016-11-07 23:01:45,9076
2016-11-07 23:02:00,9071
2016-11-07 23:02:15,9066
2016-11-07 23:02:30,9093
2016-11-07 23:02:45,9142
2016-11-07 23:03:00,9183
2016-11-07 23:03:15,9201
2016-11-07 23:03:30,9225
2016-11-07 23:03:45,9252
2016-11-07 23:04:00,9439
2016-11-07 23:04:15,9510
2016-11-07 23:04:30,9576
2016-11-07 23:04:45,9682
2016-11-07 23:05:00,9832
2016-11-07 23:05:15,9972
2016-11-07 23:05:30,10109
2016-11-07 23:05:45,10257
2016-11-07 23:06:00,10516
2016-11-07 23:06:15,10899
2016-11-07 23:06:30,11183
2016-11-07 23:06:45,11429
2016-11-07 23:07:00,11750
2016-11-07 23:07:15,11958
2016-11-07 23:07:30,12146
2016-11-07 23:07:45,12272
2016-11-07 23:08:00,12367
2016-11-07 23:08:15,12334
2016-11-07 23:08:30,12317
2016-11-07 23:08:45,12325
2016-11-07 23:09:00,12386
2016-11-07 23:09:15,12225
2016-11-07 23:09:30,12212
2016-11-07 23:09:45,12421
2016-11-07 23:10:00,12460
2016-11-07 23:10:15,12460
2016-11-07 23:10:30,12480
2016-11-07 23:10:45,12511
2016-11-07 23:11:00,12565
2016-11-07 23:11:15,12628
2016-11-07 23:11:30,12645
2016-11-07 23:11:45,12515
2016-11-07 23:12:00,12367
2016-11-07 23:12:15,12437
2016-11-07 23:12:30,12243
2016-11-07 23:12:45,12487
2016-11-07 23:13:00,12406
2016-11-07 23:13:15,12323
2016-11-07 23:13:30,12297
2016-11-07 23:13:45,12150
2016-11-07 23:14:00,12137
2016-11-07 23:14:15,11960
2016-11-07 23:14:30,12105
2016-11-07 23:14:45,12126
2016-11-07 23:15:00,11680
2016-11-07 23:15:15,11994
2016-11-07 23:15:30,11947
2016-11-07 23:15:45,11953
2016-11-07 23:16:00,12131
2016-11-07 23:16:15,11768
2016-11-07 23:16:30,11466
2016-11-07 23:16:45,12454
2016-11-07 23:17:00,12536
2016-11-07 23:17:15,12561
2016-11-07 23:17:30,12707
2016-11-07 23:17:45,12725
2016-11-07 23:18:00,12676
2016-11-07 23:18:15,12707
2016-11-07 23:18:30,12753
2016-11-07 23:18:45,12759
2016-11-07 23:19:00,12684
2016-11-07 23:19:15,12609
2016-11-07 23:19:30,12608
2016-11-07 23:19:45,12531
2016-11-07 23:20:00,12365
2016-11-07 23:20:15,11843
2016-11-07 23:20:30,11600
2016-11-07 23:20:45,11522
2016-11-07 23:21:00,11143
2016-11-07 23:21:15,10995
2016-11-07 23:21:30,11087
2016-11-07 23:21:45,11196
2016-11-07 23:22:00,11124
2016-11-07 23:22:15,11083
2016-11-07 23:22:30,10929
2016-11-07 23:22:45,10499
2016-11-07 23:23:00,10073
2016-11-07 23:23:15,9848
2016-11-07 23:23:30,9683
2016-11-07 23:23:45,9581
2016-11-08 23:00:00,9574
2016-11-08 23:00:15,9502
2016-11-08 23:00:30,9411
2016-11-08 23:00:45,9323
2016-11-08 23:01:00,9243
2016-11-08 23:01:15,9198
2016-11-08 23:01:30,9169
2016-11-08 23:01:45,9143
2016-11-08 23:02:00,9139
2016-11-08 23:02:15,9135
2016-11-08 23:02:30,9163
2016-11-08 23:02:45,9212
2016-11-08 23:03:00,9253
2016-11-08 23:03:15,9272
2016-11-08 23:03:30,9295
2016-11-08 23:03:45,9321
2016-11-08 23:04:00,9503
2016-11-08 23:04:15,9571
2016-11-08 23:04:30,9636
2016-11-08 23:04:45,9739
2016-11-08 23:05:00,9882
2016-11-08 23:05:15,10012
2016-11-08 23:05:30,10149
2016-11-08 23:05:45,10289
2016-11-08 23:06:00,10538
2016-11-08 23:06:15,10915
2016-11-08 23:06:30,11199
2016-11-08 23:06:45,11445
